year,mun_code,mun_name,cases,date
2014,355030,São Paulo,45.0,2014-11-05
2014,310620,Belo Horizonte,18.0,2014-11-05
2014,230440,Fortaleza,42.0,2014-11-12
2014,310620,Belo Horizonte,19.0,2014-11-12
2014,355030,São Paulo,40.0,2014-11-12
2014,355030,São Paulo,33.0,2014-11-19
2014,310620,Belo Horizonte,16.0,2014-11-19
2014,230440,Fortaleza,40.0,2014-11-19
2014,310620,Belo Horizonte,12.0,2014-11-26
2014,230440,Fortaleza,37.0,2014-11-26
2014,355030,São Paulo,30.0,2014-11-26
2014,230440,Fortaleza,38.0,2014-12-03
2014,310620,Belo Horizonte,14.0,2014-12-03
2014,355030,São Paulo,45.0,2014-12-03
2014,310620,Belo Horizonte,23.0,2014-12-10
2014,355030,São Paulo,29.0,2014-12-10
2014,230440,Fortaleza,29.0,2014-12-10
2014,230440,Fortaleza,33.0,2014-12-17
2014,310620,Belo Horizonte,24.0,2014-12-17
2014,355030,São Paulo,36.0,2014-12-17
2014,230440,Fortaleza,35.0,2014-12-24
2014,310620,Belo Horizonte,18.0,2014-12-24
2014,355030,São Paulo,31.0,2014-12-24
2014,230440,Fortaleza,43.0,2014-12-31
2014,310620,Belo Horizonte,32.0,2014-12-31
2014,355030,São Paulo,36.0,2014-12-31
2014,230440,Fortaleza,5.0,2015-01-07
2014,355030,São Paulo,15.0,2015-01-07
2014,310620,Belo Horizonte,12.0,2015-01-07
2015,310620,Belo Horizonte,24.0,2015-01-08
2015,230440,Fortaleza,58.0,2015-01-08
2015,355030,São Paulo,175.0,2015-01-08
2015,355030,São Paulo,191.0,2015-01-15
2015,230440,Fortaleza,74.0,2015-01-15
2015,310620,Belo Horizonte,33.0,2015-01-15
2015,355030,São Paulo,387.0,2015-01-22
2015,230440,Fortaleza,79.0,2015-01-22
2015,310620,Belo Horizonte,46.0,2015-01-22
2015,355030,São Paulo,552.0,2015-01-29
2015,230440,Fortaleza,107.0,2015-01-29
2015,310620,Belo Horizonte,49.0,2015-01-29
2015,355030,São Paulo,1028.0,2015-02-05
2015,230440,Fortaleza,156.0,2015-02-05
2015,310620,Belo Horizonte,52.0,2015-02-05
2015,310620,Belo Horizonte,66.0,2015-02-12
2015,230440,Fortaleza,142.0,2015-02-12
2015,355030,São Paulo,1253.0,2015-02-12
2015,310620,Belo Horizonte,90.0,2015-02-19
2015,230440,Fortaleza,160.0,2015-02-19
2015,355030,São Paulo,2101.0,2015-02-19
2015,310620,Belo Horizonte,80.0,2015-02-26
2015,230440,Fortaleza,196.0,2015-02-26
2015,355030,São Paulo,3336.0,2015-02-26
2015,310620,Belo Horizonte,189.0,2015-03-05
2015,230440,Fortaleza,307.0,2015-03-05
2015,355030,São Paulo,5684.0,2015-03-05
2015,230440,Fortaleza,389.0,2015-03-12
2015,310620,Belo Horizonte,283.0,2015-03-12
2015,355030,São Paulo,7695.0,2015-03-12
2015,355030,São Paulo,9649.0,2015-03-19
2015,230440,Fortaleza,406.0,2015-03-19
2015,310620,Belo Horizonte,396.0,2015-03-19
2015,310620,Belo Horizonte,496.0,2015-03-26
2015,230440,Fortaleza,462.0,2015-03-26
2015,355030,São Paulo,3636.0,2015-03-26
2015,310620,Belo Horizonte,676.0,2015-04-02
2015,355030,São Paulo,3153.0,2015-04-02
2015,230440,Fortaleza,408.0,2015-04-02
2015,355030,São Paulo,3792.0,2015-04-09
2015,230440,Fortaleza,617.0,2015-04-09
2015,310620,Belo Horizonte,1153.0,2015-04-09
2015,230440,Fortaleza,901.0,2015-04-16
2015,310620,Belo Horizonte,1232.0,2015-04-16
2015,355030,São Paulo,3551.0,2015-04-16
2015,355030,São Paulo,3482.0,2015-04-23
2015,230440,Fortaleza,1505.0,2015-04-23
2015,310620,Belo Horizonte,1433.0,2015-04-23
2015,355030,São Paulo,3065.0,2015-04-30
2015,230440,Fortaleza,1691.0,2015-04-30
2015,310620,Belo Horizonte,2193.0,2015-04-30
2015,230440,Fortaleza,2243.0,2015-05-07
2015,355030,São Paulo,2236.0,2015-05-07
2015,310620,Belo Horizonte,2183.0,2015-05-07
2015,355030,São Paulo,1325.0,2015-05-14
2015,230440,Fortaleza,2774.0,2015-05-14
2015,310620,Belo Horizonte,1840.0,2015-05-14
2015,310620,Belo Horizonte,1361.0,2015-05-21
2015,230440,Fortaleza,2678.0,2015-05-21
2015,355030,São Paulo,806.0,2015-05-21
2015,355030,São Paulo,541.0,2015-05-28
2015,230440,Fortaleza,2140.0,2015-05-28
2015,310620,Belo Horizonte,761.0,2015-05-28
