mun_code,mun_name,date,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,cases_lag5,cases_lag6,cases_lag7,cases_lag8,cases_lag9
310620,Belo Horizonte,2014-03-12,-0.3490593034834436,-0.3502334049857538,-0.3403823162117735,-0.3485832038557438,-0.3550563281335125,-0.3645421933124498,-0.3774987606159876,-0.3813209870108328,-0.37252737983472284,-0.38741680920031163
230440,Fortaleza,2014-03-12,-0.3762793795569322,-0.37795542861598924,-0.37264266520492373,-0.3697549089316328,-0.3772357193469674,-0.37311128546360783,-0.3780028019388802,-0.3838410346941377,-0.3911744377140632,-0.3879207473273051
355030,São Paulo,2014-03-12,-0.09399710916519875,-0.21263136042113065,-0.2521704244336284,-0.2896048825729103,-0.3530400198413802,-0.35345277994036295,-0.37447451267863185,-0.37376084396091797,-0.38563071780398905,-0.39245619047024616
355030,São Paulo,2014-03-19,0.02244432737139129,-0.09367867720775677,-0.2128531240982266,-0.2523023545820583,-0.28952630863921386,-0.3529487156961772,-0.3533047771171417,-0.374264853497579,-0.3735353289092818,-0.38540105669233776
230440,Fortaleza,2014-03-19,-0.38182420986819837,-0.3759392814428812,-0.3781874126881214,-0.3727794382281884,-0.3696745632514714,-0.3771437994170939,-0.37296238870995396,-0.37779292025420586,-0.38361481965487115,-0.3909443760892658
310620,Belo Horizonte,2014-03-19,-0.3127658687187922,-0.34872129460592277,-0.35046367527213296,-0.3405177923982623,-0.34850332618408264,-0.35496497267292026,-0.3643936862207794,-0.3772889107175449,-0.38109494696847385,-0.37229866539050793
310620,Belo Horizonte,2014-03-26,-0.3087332648560531,-0.31243064548997823,-0.34895147141307903,-0.3505995567201142,-0.34043809301555356,-0.3484121374985053,-0.35481690108581954,-0.36418466276435923,-0.3770631506702381,-0.3808656135493967
230440,Fortaleza,2014-03-26,-0.36367749248587267,-0.3814836861689283,-0.3761711408760495,-0.3783244086052069,-0.37269902568966984,-0.36958283575430745,-0.37699471929309497,-0.37275282488759603,-0.37756712520751756,-0.38338530418436395
355030,São Paulo,2014-03-26,0.29414101262343473,0.02275382203923206,-0.09389308718598521,-0.21298347372683593,-0.2522246052347669,-0.2894366209287707,-0.3528007357942491,-0.35309645295781755,-0.3740393034465613,-0.37330654164449484
355030,São Paulo,2014-04-02,0.693872870517443,0.29442965361553936,0.022546609961166312,-0.09401865472898364,-0.21290659353818775,-0.252135866859024,-0.2892915291097786,-0.3525924434211566,-0.35287237288082357,-0.3738104797714883
230440,Fortaleza,2014-04-02,-0.37275085117703555,-0.363338361610956,-0.3817158883592472,-0.37630805574083653,-0.37824387349303357,-0.372607221219422,-0.3694340994497056,-0.3767849011808839,-0.37252737983472284,-0.37733804666044246
310620,Belo Horizonte,2014-04-02,-0.3183106990300584,-0.30839835114376213,-0.31265857879578507,-0.3490872920718364,-0.35051963447621487,-0.340347109591533,-0.34826436388821547,-0.3546084815678005,-0.3639598127009719,-0.376834108533449
355030,São Paulo,2014-04-09,0.9423820835587369,0.6941308306842067,0.29423923663785323,0.022425723188405668,-0.09394440430238407,-0.2128188558125343,-0.25199247121572454,-0.2890872418018723,-0.3523683983435441,-0.3526450784377631
230440,Fortaleza,2014-04-09,-0.33494518996385697,-0.3724110238899421,-0.3635694420506002,-0.38185302611785504,-0.3762275652009013,-0.3781519279054655,-0.37245834738706135,-0.3692247581309691,-0.3765591761329586,-0.37229866539050793
310620,Belo Horizonte,2014-04-09,-0.30066805713057504,-0.3179750502160253,-0.3086260351716413,-0.31279294051316964,-0.3490074032571157,-0.3504283944752484,-0.3401997027219335,-0.3480563575912077,-0.35438429649266195,-0.3637317172316192
310620,Belo Horizonte,2014-04-16,-0.3041965855104717,-0.30033376245133003,-0.31820332627898273,-0.3087602347844289,-0.3127138539987349,-0.34891620174269106,-0.35028052917978597,-0.3399922050046319,-0.3478326275080289,-0.35415689281874346
230440,Fortaleza,2014-04-16,-0.3591408131402912,-0.3346082643941666,-0.37264266520492373,-0.36370585033852165,-0.381772413004265,-0.3761356709287224,-0.3780028019388802,-0.372248815350935,-0.36899955807376655,-0.37633017040645556
355030,São Paulo,2014-04-16,1.4394005096413245,0.9426209697697716,0.6939651233811049,0.29412927166231406,0.02249739956825428,-0.09385969418469359,-0.21267724803009996,-0.25179053608895935,-0.28886760664633104,-0.35214114031076965
310620,Belo Horizonte,2014-04-23,-0.3052047364761565,-0.3038620200042691,-0.3005609479233537,-0.31833791089018815,-0.3086812374144704,-0.3126235761613159,-0.3487684052111081,-0.35007239573785165,-0.33976903491155735,-0.3476056971678286
355030,São Paulo,2014-04-23,2.1531713933461365,1.4396012479409015,0.9424706242189651,0.6938712270237415,0.2941949419330771,0.022579146222218304,-0.093723495827441,-0.2124777922294024,-0.25157349088765035,-0.2886449363095942
230440,Fortaleza,2014-04-23,-0.3581326621746065,-0.3588020304714629,-0.33483756872857584,-0.3727794382281884,-0.3636256383750746,-0.3816803776147658,-0.3759866366473097,-0.37779292025420586,-0.3720234052974434,-0.3687710985015537
310620,Belo Horizonte,2014-04-30,-0.30016398164773267,-0.30487009359082307,-0.30408942359447955,-0.30069482332694736,-0.31825870180209864,-0.3085910622078298,-0.3124774299628392,-0.3485603671278687,-0.34984852565714675,-0.3395426871359333
230440,Fortaleza,2014-04-30,-0.3576285866917641,-0.35779395688490895,-0.3590328304734385,-0.3349728220212438,-0.37269902568966984,-0.36353406482407824,-0.38153109119912854,-0.37577688210756194,-0.37756712520751756,-0.3717947272635145
