mun_code,mun_name,date,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,cases_lag5,cases_lag6,cases_lag7,cases_lag8,cases_lag9
355030,São Paulo,2014-07-09,223.0,343.0,452.0,457.0,640.0,1187.0,1632.0,2734.0,2638.0,3799.0
310620,Belo Horizonte,2014-07-09,36.0,58.0,45.0,101.0,108.0,122.0,140.0,116.0,103.0,184.0
355030,São Paulo,2014-07-16,155.0,223.0,343.0,452.0,457.0,640.0,1187.0,1632.0,2734.0,2638.0
310620,Belo Horizonte,2014-07-16,34.0,36.0,58.0,45.0,101.0,108.0,122.0,140.0,116.0,103.0
230440,Fortaleza,2014-07-16,215.0,225.0,226.0,232.0,270.0,351.0,293.0,254.0,191.0,154.0
310620,Belo Horizonte,2014-07-23,28.0,34.0,36.0,58.0,45.0,101.0,108.0,122.0,140.0,116.0
230440,Fortaleza,2014-07-23,193.0,215.0,225.0,226.0,232.0,270.0,351.0,293.0,254.0,191.0
355030,São Paulo,2014-07-23,113.0,155.0,223.0,343.0,452.0,457.0,640.0,1187.0,1632.0,2734.0
310620,Belo Horizonte,2014-07-30,15.0,28.0,34.0,36.0,58.0,45.0,101.0,108.0,122.0,140.0
230440,Fortaleza,2014-07-30,188.0,193.0,215.0,225.0,226.0,232.0,270.0,351.0,293.0,254.0
355030,São Paulo,2014-07-30,110.0,113.0,155.0,223.0,343.0,452.0,457.0,640.0,1187.0,1632.0
355030,São Paulo,2014-08-06,72.0,110.0,113.0,155.0,223.0,343.0,452.0,457.0,640.0,1187.0
310620,Belo Horizonte,2014-08-06,13.0,15.0,28.0,34.0,36.0,58.0,45.0,101.0,108.0,122.0
230440,Fortaleza,2014-08-06,159.0,188.0,193.0,215.0,225.0,226.0,232.0,270.0,351.0,293.0
355030,São Paulo,2014-08-13,59.0,72.0,110.0,113.0,155.0,223.0,343.0,452.0,457.0,640.0
310620,Belo Horizonte,2014-08-13,6.0,13.0,15.0,28.0,34.0,36.0,58.0,45.0,101.0,108.0
230440,Fortaleza,2014-08-13,139.0,159.0,188.0,193.0,215.0,225.0,226.0,232.0,270.0,351.0
230440,Fortaleza,2014-08-20,113.0,139.0,159.0,188.0,193.0,215.0,225.0,226.0,232.0,270.0
355030,São Paulo,2014-08-20,46.0,59.0,72.0,110.0,113.0,155.0,223.0,343.0,452.0,457.0
310620,Belo Horizonte,2014-08-20,15.0,6.0,13.0,15.0,28.0,34.0,36.0,58.0,45.0,101.0
310620,Belo Horizonte,2014-08-27,12.0,15.0,6.0,13.0,15.0,28.0,34.0,36.0,58.0,45.0
230440,Fortaleza,2014-08-27,117.0,113.0,139.0,159.0,188.0,193.0,215.0,225.0,226.0,232.0
355030,São Paulo,2014-08-27,53.0,46.0,59.0,72.0,110.0,113.0,155.0,223.0,343.0,452.0
355030,São Paulo,2014-09-03,29.0,53.0,46.0,59.0,72.0,110.0,113.0,155.0,223.0,343.0
310620,Belo Horizonte,2014-09-03,10.0,12.0,15.0,6.0,13.0,15.0,28.0,34.0,36.0,58.0
